EDIÇÃO,CÓD. IES,NOME IES,SIGLA IES,CAMPUS,CÓD CURSO,NOME CURSO,GRAU,TURNO,TIPO MODALIDADE,MODALIDADE CONCORRÊNCIA,PERCENTUAL DE BÔNUS,NOTA DE CORTE
2010/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,"Barra do Garças-MT, Avenida Governador Jaime Campos, Drurys",25949,Letras com Habilitação em Língua e Literatura Portuguesa,Licenciatura Plena,Noturno,Ampla Concorrência,Ampla Concorrência,0,597.42
2010/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,"Barra do Garças-MT, Avenida Governador Jaime Campos, Drurys",112846,Ciência da Computação,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,656.96
2010/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,"Barra do Garças-MT, Avenida Governador Jaime Campos, Drurys",116648,Biomedicina,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,738.88
2010/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,"Barra do Garças-MT, Avenida Governador Jaime Campos, Drurys",116662,Agronomia,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,640.28
2010/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,"Barra do Garças-MT, Avenida Governador Jaime Campos, Drurys",116708,Comunicação Social com Habilitação em Jornalismo,Bacharelado,Noturno,Ampla Concorrência,Ampla Concorrência,0,670.92
2010/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,"Barra do Garças-MT, Avenida Governador Jaime Campos, Drurys",123055,Engenharia Civil,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,719.54
2010/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,"Barra do Garças-MT, Avenida Governador Jaime Campos, Drurys",123427,Direito,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,741.06
2010/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,"Barra do Garças-MT, Avenida Governador Jaime Campos, Drurys",1103714,Geografia,Licenciatura,Noturno,Ampla Concorrência,Ampla Concorrência,0,591.94
2010/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,"Cuiabá-MT, Avenida Fernando Correa da Costa, Boa Esperança",1,Direito,Bacharelado,Matutino,Ampla Concorrência,Ampla Concorrência,0,761.64
2010/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,"Cuiabá-MT, Avenida Fernando Correa da Costa, Boa Esperança",1,Direito,Bacharelado,Noturno,Ampla Concorrência,Ampla Concorrência,0,755.82
2010/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,"Cuiabá-MT, Avenida Fernando Correa da Costa, Boa Esperança",2,Ciências Econômicas,Bacharelado,Matutino,Ampla Concorrência,Ampla Concorrência,0,673.78
2010/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,"Cuiabá-MT, Avenida Fernando Correa da Costa, Boa Esperança",2,Ciências Econômicas,Bacharelado,Noturno,Ampla Concorrência,Ampla Concorrência,0,671.84
2010/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,"Cuiabá-MT, Avenida Fernando Correa da Costa, Boa Esperança",3,Engenharia Civil,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,738.66
2010/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,"Cuiabá-MT, Avenida Fernando Correa da Costa, Boa Esperança",6,Pedagogia,Licenciatura Plena,Matutino,Ampla Concorrência,Ampla Concorrência,0,612.06
2010/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,"Cuiabá-MT, Avenida Fernando Correa da Costa, Boa Esperança",6,Pedagogia,Licenciatura Plena,Vespertino,Ampla Concorrência,Ampla Concorrência,0,609.3
2010/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,"Cuiabá-MT, Avenida Fernando Correa da Costa, Boa Esperança",7,Serviço Social,Bacharelado,Matutino,Ampla Concorrência,Ampla Concorrência,0,628.78
2010/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,"Cuiabá-MT, Avenida Fernando Correa da Costa, Boa Esperança",8,Ciências Contábeis,Bacharelado,Matutino,Ampla Concorrência,Ampla Concorrência,0,672.42
2010/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,"Cuiabá-MT, Avenida Fernando Correa da Costa, Boa Esperança",8,Ciências Contábeis,Bacharelado,Noturno,Ampla Concorrência,Ampla Concorrência,0,680.64
2010/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,"Cuiabá-MT, Avenida Fernando Correa da Costa, Boa Esperança",9,Agronomia,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,660.68
2010/1,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,"Cuiabá-MT, Avenida Fernando Correa da Costa, Boa Esperança",10,Engenharia Florestal,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,664.9
